#️⃣ <code>:hash:</code>
📼 <code>:vhs:</code>
🔀 <code>:twisted_rightwards_arrows:</code>
🔁 <code>:repeat:</code>
🔂 <code>:repeat_one:</code>
🔃 <code>:arrows_clockwise:</code>
🔄 <code>:arrows_counterclockwise:</code>
🔅 <code>:low_brightness:</code>
🔆 <code>:high_brightness:</code>
🔇 <code>:mute:</code>
🔈 <code>:speaker:</code>
🔉 <code>:sound:</code>
🔋 <code>:battery:</code>
🔌 <code>:electric_plug:</code>
🔍 <code>:mag:</code>
🔎 <code>:mag_right:</code>
🔏 <code>:lock_with_ink_pen:</code>
🔐 <code>:closed_lock_with_key:</code>
🔑 <code>:key:</code>
🔒 <code>:lock:</code>
🔓 <code>:unlock:</code>
🔔 <code>:bell:</code>
🔕 <code>:no_bell:</code>
🔖 <code>:bookmark:</code>
🔗 <code>:link:</code>
🔘 <code>:radio_button:</code>
🔚 <code>:end:</code>
🔛 <code>:on:</code>
🔜 <code>:soon:</code>
🔝 <code>:top:</code>
🔞 <code>:underage:</code>
🔟 <code>:keycap_ten:</code>
🔠 <code>:capital_abcd:</code>
🔡 <code>:abcd:</code>
🔢 <code>:1234:</code>
🔣 <code>:symbols:</code>
🔤 <code>:abc:</code>
🔥 <code>:fire:</code>
🔦 <code>:flashlight:</code>
🔧 <code>:wrench:</code>
🔨 <code>:hammer:</code>
🔩 <code>:nut_and_bolt:</code>
🔪 <code>:hocho:</code>
🔫 <code>:gun:</code>
🔬 <code>:microscope:</code>
🔭 <code>:telescope:</code>
🔮 <code>:crystal_ball:</code>
🔯 <code>:six_pointed_star:</code>
🔰 <code>:beginner:</code>
🔱 <code>:trident:</code>
🔲 <code>:black_square_button:</code>
🔳 <code>:white_square_button:</code>
🔴 <code>:red_circle:</code>
🔵 <code>:large_blue_circle:</code>
🔶 <code>:large_orange_diamond:</code>
🔷 <code>:large_blue_diamond:</code>
🔸 <code>:small_orange_diamond:</code>
🔹 <code>:small_blue_diamond:</code>
🔺 <code>:small_red_triangle:</code>
🔻 <code>:small_red_triangle_down:</code>
🔼 <code>:arrow_up_small:</code>
🔽 <code>:arrow_down_small:</code>
🕐 <code>:clock1:</code>
🕑 <code>:clock2:</code>
🕒 <code>:clock3:</code>
🕓 <code>:clock4:</code>
🕔 <code>:clock5:</code>
🕕 <code>:clock6:</code>
🕖 <code>:clock7:</code>
🕗 <code>:clock8:</code>
🕘 <code>:clock9:</code>
🕙 <code>:clock10:</code>
🕚 <code>:clock11:</code>
🕛 <code>:clock12:</code>
🕜 <code>:clock130:</code>
🕝 <code>:clock230:</code>
🕞 <code>:clock330:</code>
🕟 <code>:clock430:</code>
🕠 <code>:clock530:</code>
🕡 <code>:clock630:</code>
🕢 <code>:clock730:</code>
🕣 <code>:clock830:</code>
🕤 <code>:clock930:</code>
🕥 <code>:clock1030:</code>
🕦 <code>:clock1130:</code>
🕧 <code>:clock1230:</code>
🖕 <code>:fu:</code>
🗻 <code>:mount_fuji:</code>
🗼 <code>:tokyo_tower:</code>
🗽 <code>:statue_of_liberty:</code>
🗾 <code>:japan:</code>
🗿 <code>:moyai:</code>
😀 <code>:grinning:</code>
😁 <code>:grin:</code>
😂 <code>:joy:</code>
😃 <code>:smiley:</code>
😅 <code>:sweat_smile:</code>
😆 <code>:satisfied:</code>
😇 <code>:innocent:</code>
😈 <code>:smiling_imp:</code>
😉 <code>:wink:</code>
😊 <code>:blush:</code>
😋 <code>:yum:</code>
😌 <code>:relieved:</code>
😍 <code>:heart_eyes:</code>
😎 <code>:sunglasses:</code>
😏 <code>:smirk:</code>
😐 <code>:neutral_face:</code>
😑 <code>:expressionless:</code>
😒 <code>:unamused:</code>
😓 <code>:sweat:</code>
😔 <code>:pensive:</code>
😕 <code>:confused:</code>
😖 <code>:confounded:</code>
😗 <code>:kissing:</code>
😘 <code>:kissing_heart:</code>
😙 <code>:kissing_smiling_eyes:</code>
😚 <code>:kissing_closed_eyes:</code>
😛 <code>:stuck_out_tongue:</code>
😜 <code>:stuck_out_tongue_winking_eye:</code>
😝 <code>:stuck_out_tongue_closed_eyes:</code>
😞 <code>:disappointed:</code>
😟 <code>:worried:</code>
😠 <code>:angry:</code>
😡 <code>:rage:</code>
😢 <code>:cry:</code>
😣 <code>:persevere:</code>
😤 <code>:triumph:</code>
😥 <code>:disappointed_relieved:</code>
😦 <code>:frowning:</code>
😧 <code>:anguished:</code>
😨 <code>:fearful:</code>
😩 <code>:weary:</code>
😪 <code>:sleepy:</code>
😫 <code>:tired_face:</code>
😬 <code>:grimacing:</code>
😭 <code>:sob:</code>
😮 <code>:open_mouth:</code>
😯 <code>:hushed:</code>
😰 <code>:cold_sweat:</code>
😱 <code>:scream:</code>
😲 <code>:astonished:</code>
😳 <code>:flushed:</code>
😴 <code>:sleeping:</code>
😵 <code>:dizzy_face:</code>
😶 <code>:no_mouth:</code>
😷 <code>:mask:</code>
😸 <code>:smile_cat:</code>
😹 <code>:joy_cat:</code>
😺 <code>:smiley_cat:</code>
😻 <code>:heart_eyes_cat:</code>
😼 <code>:smirk_cat:</code>
😽 <code>:kissing_cat:</code>
😾 <code>:pouting_cat:</code>
😿 <code>:crying_cat_face:</code>
🙀 <code>:scream_cat:</code>
🙅 <code>:no_good:</code>
🙆 <code>:ok_woman:</code>
🙇 <code>:bow:</code>
🙈 <code>:see_no_evil:</code>
🙉 <code>:hear_no_evil:</code>
🙊 <code>:speak_no_evil:</code>
🙋 <code>:raising_hand:</code>
🙌 <code>:raised_hands:</code>
🙏 <code>:pray:</code>
🚀 <code>:rocket:</code>
🚁 <code>:helicopter:</code>
🚂 <code>:steam_locomotive:</code>
🚃 <code>:railway_car:</code>
🚄 <code>:bullettrain_side:</code>
🚅 <code>:bullettrain_front:</code>
🚆 <code>:train2:</code>
🚇 <code>:metro:</code>
🚈 <code>:light_rail:</code>
🚉 <code>:station:</code>
🚊 <code>:tram:</code>
🚋 <code>:train:</code>
🚌 <code>:bus:</code>
🚍 <code>:oncoming_bus:</code>
🚎 <code>:trolleybus:</code>
🚏 <code>:busstop:</code>
🚐 <code>:minibus:</code>
🚑 <code>:ambulance:</code>
🚒 <code>:fire_engine:</code>
🚓 <code>:police_car:</code>
🚔 <code>:oncoming_police_car:</code>
🚕 <code>:taxi:</code>
🚖 <code>:oncoming_taxi:</code>
🚗 <code>:car:</code>
🚗 <code>:red_car:</code>
🚘 <code>:oncoming_automobile:</code>
🚙 <code>:blue_car:</code>
🚚 <code>:truck:</code>
🚛 <code>:articulated_lorry:</code>
🚜 <code>:tractor:</code>
🚝 <code>:monorail:</code>
🚞 <code>:mountain_railway:</code>
🚟 <code>:suspension_railway:</code>
🚠 <code>:mountain_cableway:</code>
🚡 <code>:aerial_tramway:</code>
🚢 <code>:ship:</code>
🚣 <code>:rowboat:</code>
🚤 <code>:speedboat:</code>
🚥 <code>:traffic_light:</code>
🚦 <code>:vertical_traffic_light:</code>
🚧 <code>:construction:</code>
🚨 <code>:rotating_light:</code>
🚩 <code>:triangular_flag_on_post:</code>
🚪 <code>:door:</code>
🚫 <code>:no_entry_sign:</code>
🚬 <code>:smoking:</code>
🚭 <code>:no_smoking:</code>
🚮 <code>:put_litter_in_its_place:</code>
🚯 <code>:do_not_litter:</code>
🚰 <code>:potable_water:</code>
🚱 <code>:non-potable_water:</code>
🚲 <code>:bike:</code>
🚳 <code>:no_bicycles:</code>
🚴 <code>:bicyclist:</code>
🚵 <code>:mountain_bicyclist:</code>
🚶 <code>:walking:</code>
🚷 <code>:no_pedestrians:</code>
🚸 <code>:children_crossing:</code>
🚹 <code>:mens:</code>
🚺 <code>:womens:</code>
🚻 <code>:restroom:</code>
🚼 <code>:baby_symbol:</code>
🚽 <code>:toilet:</code>
🚾 <code>:wc:</code>
🚿 <code>:shower:</code>
🛀 <code>:bath:</code>
🛁 <code>:bathtub:</code>
🛂 <code>:passport_control:</code>
🛃 <code>:customs:</code>
🛄 <code>:baggage_claim:</code>
🛅 <code>:left_luggage:</code>
🤘 <code>:metal:</code>
🥚 <code>:egg:</code>
🪲 <code>:beetle:</code>
